Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2001-12-04,4.185159683227539,4.185159683227539,4.185159683227539,4.185159683227539,78799,0.0,0.0,0.0
2001-12-05,4.1851589285298925,4.1851589285298925,3.9151484966278076,3.9151484966278076,80346,0.0,0.0,0.0
2001-12-06,3.9151492026352512,4.185159683227539,3.6451389525390403,4.185159683227539,188334,0.0,0.0,0.0
2001-12-07,4.455169677734375,4.455169677734375,4.185159226601829,4.455169677734375,76049,0.0,0.0,0.0
2001-12-10,4.4551692322619125,4.725179195404053,4.4551692322619125,4.725179195404053,39099,0.0,0.0,0.0
2001-12-11,4.995190143585205,4.995190143585205,4.995190143585205,4.995190143585205,46837,0.0,0.0,0.0
2001-12-12,5.332703113555908,5.332703113555908,5.332703113555908,5.332703113555908,12173,0.0,0.0,0.0
2001-12-13,5.332703477785872,5.6702165603637695,5.332703477785872,5.6702165603637695,25573,0.0,0.0,0.0
2001-12-14,5.940226915084144,6.007729530334473,5.332703377831178,6.007729530334473,219699,0.0,0.0,0.0
2001-12-17,6.277739757612482,6.412744522094727,6.277739757612482,6.412744522094727,14178,0.0,0.0,0.0
2001-12-18,6.817760467529297,6.817760467529297,6.817760467529297,6.817760467529297,9996,0.0,0.0,0.0
2001-12-19,7.290278139586583,7.290278139586583,6.345241546630859,6.345241546630859,148633,0.0,0.0,0.0
2001-12-20,6.345241336632294,6.750257466915527,5.940226589325348,6.4802470207214355,47173,0.0,0.0,0.0
2001-12-21,6.075231438237682,6.817760175881232,6.075231438237682,6.142734050750732,43439,0.0,0.0,0.0
2001-12-24,5.872723356416736,5.9402264271140295,5.7377190589904785,5.7377190589904785,24347,0.0,0.0,0.0
2001-12-25,5.400206089019775,5.400206089019775,5.400206089019775,5.400206089019775,6731,0.0,0.0,0.0
2001-12-26,5.400206010464421,5.7377190589904785,5.062692500946281,5.7377190589904785,60295,0.0,0.0,0.0
2001-12-27,5.7377189548697105,6.075231075286865,5.7377189548697105,6.075231075286865,51272,0.0,0.0,0.0
2001-12-28,6.075231351430298,6.4802470207214355,6.075231351430298,6.4802470207214355,29646,0.0,0.0,0.0
2001-12-31,6.885262489318848,6.885262489318848,6.885262489318848,6.885262489318848,161265,0.0,0.0,0.0
2002-01-01,6.885262489318848,6.885262489318848,6.885262489318848,6.885262489318848,0,0.0,0.0,0.0
2002-01-02,7.290277861183292,7.357780933380127,7.290277861183292,7.357780933380127,23631,0.0,0.0,0.0
2002-01-03,7.357780933380127,7.357780933380127,7.357780933380127,7.357780933380127,0,0.0,0.0,0.0
2002-01-04,7.965304597707575,8.370320320129395,7.965304597707575,8.370320320129395,10168,0.0,0.0,0.0
2002-01-07,8.505323709019578,8.910340309143066,8.505323709019578,8.910340309143066,8306,0.0,0.0,0.0
2002-01-08,9.04534544800465,9.517863273620605,9.04534544800465,9.517863273620605,14006,0.0,0.0,0.0
2002-01-09,9.517863222678756,10.125387191772461,9.517863222678756,10.125387191772461,13106,0.0,0.0,0.0
2002-01-10,10.12538699315219,10.80041217803955,10.12538699315219,10.80041217803955,10515,0.0,0.0,0.0
2002-01-11,11.47543890839216,11.542940139770508,11.47543890839216,11.542940139770508,21485,0.0,0.0,0.0
2002-01-14,11.67794600198334,12.285469055175781,10.800412498042213,12.285469055175781,331124,0.0,0.0,0.0
2002-01-15,12.285468665797833,13.095499992370605,12.285468665797833,13.095499992370605,45400,0.0,0.0,0.0
2002-01-16,13.095501295267663,13.973034858703613,13.095501295267663,13.973034858703613,13319,0.0,0.0,0.0
2002-01-17,13.973034166580277,14.918069839477539,13.973034166580277,14.918069839477539,113143,0.0,0.0,0.0
2002-01-18,14.918068817480703,15.930606573939716,13.90553013903753,14.378047943115234,273836,0.0,0.0,0.0
2002-01-21,14.513054422749551,15.323084831237793,14.513054422749551,15.323084831237793,100110,0.0,0.0,0.0
2002-01-22,15.593095484754848,16.335622787475586,15.593095484754848,16.335622787475586,14379,0.0,0.0,0.0
2002-01-23,16.605635190523056,17.415666580200195,16.605635190523056,17.415666580200195,15785,0.0,0.0,0.0
2002-01-24,17.415666361857056,18.630712509155273,17.415666361857056,18.630712509155273,12076,0.0,0.0,0.0
2002-01-25,18.765715588052448,19.913259506225586,18.765715588052448,19.913259506225586,18933,0.0,0.0,0.0
2002-01-28,21.2633113861084,21.2633113861084,21.2633113861084,21.2633113861084,31078,0.0,0.0,0.0
2002-01-29,22.073344004133972,22.748369216918945,22.073344004133972,22.748369216918945,41679,0.0,0.0,0.0
2002-01-30,22.950875879338053,24.300926208496094,22.950875879338053,24.300926208496094,60925,0.0,0.0,0.0
2002-01-31,24.300926208496094,24.300926208496094,24.300926208496094,24.300926208496094,0,0.0,0.0,0.0
2002-02-01,25.988492599255256,27.74355961277412,24.70594249308783,25.65097999572754,702063,0.0,0.0,0.0
2002-02-04,25.650981171741787,25.650981171741787,23.89591407775879,23.89591407775879,88567,0.0,0.0,0.0
2002-02-05,23.760906859490646,23.760906859490646,22.275850296020508,22.275850296020508,45028,0.0,0.0,0.0
2002-02-06,20.925799695219528,22.208347947416996,20.723291397094727,20.723291397094727,423414,0.0,0.0,0.0
2002-02-07,20.723291397094727,20.723291397094727,20.723291397094727,20.723291397094727,0,0.0,0.0,0.0
2002-02-08,20.723291397094727,20.723291397094727,20.723291397094727,20.723291397094727,0,0.0,0.0,0.0
2002-02-11,20.723291397094727,20.723291397094727,20.723291397094727,20.723291397094727,0,0.0,0.0,0.0
2002-02-12,20.723291397094727,20.723291397094727,20.723291397094727,20.723291397094727,0,0.0,0.0,0.0
2002-02-13,20.723291397094727,20.723291397094727,20.723291397094727,20.723291397094727,0,0.0,0.0,0.0
2002-02-14,20.723291397094727,20.723291397094727,20.723291397094727,20.723291397094727,0,0.0,0.0,0.0
2002-02-15,20.723291397094727,20.723291397094727,20.723291397094727,20.723291397094727,0,0.0,0.0,0.0
2002-02-18,20.723291760255037,22.140846184033432,19.305737336476646,21.06080436706543,199505,0.0,0.0,0.0
2002-02-19,21.195807651827938,22.478357708727103,19.64324899765353,20.520782470703125,100568,0.0,0.0,0.0
2002-02-20,20.38577940825245,21.938338156573508,19.91326064643069,20.925800323486328,95871,0.0,0.0,0.0
2002-02-21,22.2083473912714,22.343353534629884,21.06080347058187,21.6008243560791,76909,0.0,0.0,0.0
2002-02-22,21.938337409530938,22.275850009067046,20.858295615840678,21.330814361572266,103590,0.0,0.0,0.0
2002-02-25,21.19580850235104,21.73582940650762,20.588285446166992,20.588285446166992,52962,0.0,0.0,0.0
2002-02-26,20.115767542459746,21.600824033409413,19.91325925243123,20.048263549804688,53306,0.0,0.0,0.0
2002-02-27,19.575746144715225,19.64324829160778,18.968223134745685,19.23823356628418,51730,0.0,0.0,0.0
2002-02-28,19.23823356628418,19.23823356628418,19.23823356628418,19.23823356628418,0,0.0,0.0,0.0
2002-03-01,18.698213855340814,18.698213855340814,17.955684661865234,17.955684661865234,114174,0.0,0.0,0.0
2002-03-04,17.955683682168264,17.955683682168264,16.740637653656584,16.80813980102539,144365,0.0,0.0,0.0
2002-03-05,16.943146864182243,17.955684661865234,16.673136416006432,17.955684661865234,106555,0.0,0.0,0.0
2002-03-06,18.090690711238754,19.170732498168945,18.090690711238754,19.170732498168945,32424,0.0,0.0,0.0
2002-03-07,20.38577924970077,20.45328140258789,20.38577924970077,20.45328140258789,23631,0.0,0.0,0.0
2002-03-08,20.993302418815265,21.87083594265029,19.84575843811035,19.84575843811035,216592,0.0,0.0,0.0
2002-03-11,19.84575808592801,21.128306350323573,19.84575808592801,20.588285446166992,58576,0.0,0.0,0.0
2002-03-12,20.453280321384312,21.600824235677504,19.980763432184283,20.520782470703125,93150,0.0,0.0,0.0
2002-03-13,20.25077540647849,20.925800638704942,19.98076494479421,20.183271408081055,103118,0.0,0.0,0.0
2002-03-14,20.048263988370426,20.588284877614136,19.710753237553572,20.385778427124023,38944,0.0,0.0,0.0
2002-03-15,20.115768237538145,21.060803883712,20.115768237538145,20.250774383544922,69461,0.0,0.0,0.0
2002-03-18,20.385778685583304,20.92579958167362,20.115768237538145,20.250774383544922,61555,0.0,0.0,0.0
2002-03-19,20.250774383544922,20.385778685583304,20.115768237538145,20.250774383544922,56730,0.0,0.0,0.0
2002-03-20,20.250774943926537,20.925800160734607,20.250774943926537,20.45328140258789,65308,0.0,0.0,0.0
2002-03-21,20.58828525035539,21.128306149375923,20.520783098969922,20.723291397094727,83257,0.0,0.0,0.0
2002-03-22,20.723290317341583,21.263311188225217,20.58828417763652,20.79079246520996,79773,0.0,0.0,0.0
2002-03-25,20.65578913362846,21.26331218073797,19.643249492467017,20.250774383544922,100826,0.0,0.0,0.0
2002-03-26,20.25077654061994,21.6683292388916,20.115770380232554,21.6683292388916,114575,0.0,0.0,0.0
2002-03-27,21.803332871463557,23.153383255004883,21.803332871463557,23.153383255004883,37208,0.0,0.0,0.0
2002-03-28,23.153383951087594,24.773446672804763,22.883373497468067,24.43593406677246,321714,0.0,0.0,0.0
2002-03-29,24.435932112828247,26.123495008048977,24.435932112828247,25.043455123901367,205864,0.0,0.0,0.0
2002-04-01,25.04345614216566,26.528512656723116,24.300926962902754,24.9759521484375,83939,0.0,0.0,0.0
2002-04-02,24.97595163326301,25.65097864884245,23.963413875846328,24.165922164916992,92931,0.0,0.0,0.0
